LAST SEEN   TYPE      REASON                         OBJECT                                  MESSAGE
8m26s       Normal    Scheduled                      pod/load-simulator-57fc84dfdf-4962f     Successfully assigned energy/load-simulator-57fc84dfdf-4962f to NODE_REDACTED
8m26s       Normal    UpdatedLoadBalancer            service/grid-dashboard                  Updated load balancer with new hosts
8m26s       Normal    Scheduled                      pod/meter-service-5b8f45f67f-85nk2      Successfully assigned energy/meter-service-5b8f45f67f-85nk2 to NODE_REDACTED
8m26s       Normal    Scheduled                      pod/dispatch-service-5589cf949c-mxbp6   Successfully assigned energy/dispatch-service-5589cf949c-mxbp6 to NODE_REDACTED
8m26s       Normal    Scheduled                      pod/meter-service-5b8f45f67f-h7rhc      Successfully assigned energy/meter-service-5b8f45f67f-h7rhc to NODE_REDACTED
8m25s       Normal    UpdatedLoadBalancer            service/ops-console                     Updated load balancer with new hosts
8m10s       Normal    Pulled                         pod/asset-service-c744d6667-fgcsz       Successfully pulled image "ghcr.io/azure-samples/aks-store-demo/product-service:latest" in 27.823s (27.823s including waiting). Image size: 43712575 bytes.
8m9s        Normal    Created                        pod/asset-service-c744d6667-fgcsz       Created container: asset-service
8m9s        Normal    Started                        pod/asset-service-c744d6667-fgcsz       Started container asset-service
8m6s        Normal    Pulling                        pod/asset-service-c744d6667-fzdfb       Pulling image "ghcr.io/azure-samples/aks-store-demo/product-service:latest"
8m5s        Normal    Pulling                        pod/grid-dashboard-66cb797c94-wksmz     Pulling image "nginx:alpine"
8m5s        Normal    Pulling                        pod/grid-dashboard-66cb797c94-jpm4n     Pulling image "nginx:alpine"
8m5s        Normal    Pulling                        pod/meter-service-5b8f45f67f-85nk2      Pulling image "ghcr.io/azure-samples/aks-store-demo/order-service:latest"
8m5s        Normal    Pulling                        pod/meter-service-5b8f45f67f-h7rhc      Pulling image "ghcr.io/azure-samples/aks-store-demo/order-service:latest"
8m5s        Normal    Pulling                        pod/dispatch-service-5589cf949c-rqx6w   Pulling image "ghcr.io/azure-samples/aks-store-demo/makeline-service:latest"
8m5s        Normal    Pulling                        pod/load-simulator-57fc84dfdf-4962f     Pulling image "ghcr.io/azure-samples/aks-store-demo/virtual-customer:latest"
8m5s        Normal    Pulling                        pod/dispatch-service-5589cf949c-mxbp6   Pulling image "ghcr.io/azure-samples/aks-store-demo/makeline-service:latest"
7m58s       Normal    Created                        pod/rabbitmq-79d58d7457-j4zdc           Created container: rabbitmq
7m58s       Normal    Started                        pod/rabbitmq-79d58d7457-j4zdc           Started container rabbitmq
7m58s       Normal    Pulled                         pod/rabbitmq-79d58d7457-j4zdc           Successfully pulled image "rabbitmq:3.11-management-alpine" in 39.362s (39.362s including waiting). Image size: 86219699 bytes.
7m54s       Normal    Created                        pod/dispatch-service-5589cf949c-rqx6w   Created container: dispatch-service
7m54s       Normal    Created                        pod/dispatch-service-5589cf949c-mxbp6   Created container: dispatch-service
7m54s       Normal    Pulled                         pod/dispatch-service-5589cf949c-mxbp6   Successfully pulled image "ghcr.io/azure-samples/aks-store-demo/makeline-service:latest" in 11.651s (11.651s including waiting). Image size: 14820165 bytes.
7m54s       Normal    Pulled                         pod/dispatch-service-5589cf949c-rqx6w   Successfully pulled image "ghcr.io/azure-samples/aks-store-demo/makeline-service:latest" in 11.266s (11.266s including waiting). Image size: 14820165 bytes.
7m54s       Normal    Pulled                         pod/load-simulator-57fc84dfdf-4962f     Successfully pulled image "ghcr.io/azure-samples/aks-store-demo/virtual-customer:latest" in 11.219s (11.219s including waiting). Image size: 35278630 bytes.
7m53s       Normal    Created                        pod/load-simulator-57fc84dfdf-4962f     Created container: load-simulator
7m53s       Normal    Started                        pod/load-simulator-57fc84dfdf-4962f     Started container load-simulator
7m53s       Normal    Started                        pod/dispatch-service-5589cf949c-mxbp6   Started container dispatch-service
7m53s       Normal    Pulled                         pod/asset-service-c744d6667-fzdfb       Successfully pulled image "ghcr.io/azure-samples/aks-store-demo/product-service:latest" in 12.494s (12.495s including waiting). Image size: 43712575 bytes.
7m53s       Normal    Created                        pod/asset-service-c744d6667-fzdfb       Created container: asset-service
7m53s       Normal    Started                        pod/asset-service-c744d6667-fzdfb       Started container asset-service
7m53s       Normal    Started                        pod/dispatch-service-5589cf949c-rqx6w   Started container dispatch-service
7m50s       Normal    Pulled                         pod/grid-dashboard-66cb797c94-jpm4n     Successfully pulled image "nginx:alpine" in 15.232s (15.232s including waiting). Image size: 26013346 bytes.
7m50s       Normal    Pulled                         pod/grid-dashboard-66cb797c94-wksmz     Successfully pulled image "nginx:alpine" in 15.073s (15.073s including waiting). Image size: 26013346 bytes.
7m49s       Normal    Started                        pod/grid-dashboard-66cb797c94-wksmz     Started container grid-dashboard
7m49s       Normal    Created                        pod/grid-dashboard-66cb797c94-wksmz     Created container: grid-dashboard
7m49s       Normal    Started                        pod/grid-dashboard-66cb797c94-jpm4n     Started container grid-dashboard
7m49s       Normal    Created                        pod/grid-dashboard-66cb797c94-jpm4n     Created container: grid-dashboard
7m41s       Normal    Pulled                         pod/meter-service-5b8f45f67f-h7rhc      Successfully pulled image "ghcr.io/azure-samples/aks-store-demo/order-service:latest" in 24.474s (24.474s including waiting). Image size: 75025121 bytes.
7m41s       Normal    Pulled                         pod/meter-service-5b8f45f67f-85nk2      Successfully pulled image "ghcr.io/azure-samples/aks-store-demo/order-service:latest" in 24.573s (24.573s including waiting). Image size: 75025121 bytes.
7m40s       Normal    Created                        pod/meter-service-5b8f45f67f-85nk2      Created container: meter-service
7m40s       Normal    Started                        pod/meter-service-5b8f45f67f-85nk2      Started container meter-service
7m40s       Normal    Created                        pod/meter-service-5b8f45f67f-h7rhc      Created container: meter-service
7m40s       Normal    Started                        pod/meter-service-5b8f45f67f-h7rhc      Started container meter-service
2s          Normal    Killing                        pod/mongodb-d948b8585-wnvx7             Stopping container mongodb
2s          Normal    SuccessfulDelete               replicaset/mongodb-d948b8585            Deleted pod: mongodb-d948b8585-wnvx7
2s          Normal    ScalingReplicaSet              deployment/mongodb                      Scaled down replica set mongodb-d948b8585 from 1 to 0
1s          Normal    ScalingReplicaSet              deployment/mongodb                      Scaled up replica set mongodb-d948b8585 from 0 to 1
1s          Normal    Scheduled                      pod/mongodb-d948b8585-ptjjt             Successfully assigned energy/mongodb-d948b8585-ptjjt to NODE_REDACTED
1s          Warning   FailedAttachVolume             pod/mongodb-d948b8585-ptjjt             Multi-Attach error for volume "pvc-6eb214d1-f9ea-4805-bc26-d0e417e907c3" Volume is already exclusively attached to one node and can't be attached to another
1s          Normal    SuccessfulCreate               replicaset/mongodb-d948b8585            Created pod: mongodb-d948b8585-ptjjt
